tweet,sentiment,tokenized_text,cleaned_text
Evergreen bagi 52 bulan bonus. Hyundai Oilbank bagi 120 bulan bonus. Korang berapa bulan bonus dapat? Aku air soya bonus pun tak dapat. bercukur la.Translate post,netral,"['evergreen', 'bagi', '52', 'bulan', 'bonus', 'hyundai', 'oilbank', 'bagi', '120', 'bulan', 'bonus', 'korang', 'berapa', 'bulan', 'bonus', 'dapat', 'aku', 'air', 'soya', 'bonus', 'pun', 'tak', 'dapat', 'bercukur', 'latranslate', 'post']","['evergreen', '52', 'bonus', 'hyundai', 'oilbank', '120', 'bonus', 'bonus', 'air', 'soya', 'bonus', 'bercukur']"
CAP BAGASI ERTIGA 2019 BERANGKAT KE BENGKEL MOBIL DI KOTA GRESIK JAWA TIMUR https://youtu.be/VKtl6RlsMcQ lewat @YouTubeTranslate post,netral,"['cap', 'bagasi', 'ertiga', '2019', 'berangkat', 'ke', 'bengkel', 'mobil', 'di', 'kota', 'gresik', 'jawa', 'timur', 'lewat', 'post']","['bagasi', 'ertiga', '2019', 'berangkat', 'bengkel', 'gresik', 'jawa']"
"QS. Maryam ayat 4: Dan aku belum pernah kecewa dalam berdoa kepada-Mu, ya Tuhanku.",netral,"['qs', 'maryam', 'ayat', '4', 'dan', 'aku', 'belum', 'pernah', 'kecewa', 'dalam', 'berdoa', 'kepadamu', 'ya', 'tuhanku']",['kecewa']
Civic Genio 1993 1.6CC Surat lengkap Plat 2026 Matic responsif Cat siram Okt 2021 Kaki2 baru d/b Bushing semua baru Oct 22 Ban baru Sept 22 Knalpot racing HKS AC dingin evaporator baru satu...,positif,"['civic', 'genio', '1993', '16cc', 'surat', 'lengkap', 'plat', '2026', 'matic', 'responsif', 'cat', 'siram', 'okt', '2021', 'kaki2', 'baru', 'db', 'bushing', 'semua', 'baru', 'oct', '22', 'ban', 'baru', 'sept', '22', 'knalpot', 'racing', 'hks', 'ac', 'dingin', 'evaporator', 'baru', 'satu']","['civic', 'genio', '1993', '16cc', 'surat', 'lengkap', 'plat', '2026', 'matic', 'responsif', 'cat', 'siram', '2021', 'kaki2', 'db', 'bushing', 'oct', '22', 'ban', '22', 'knalpot', 'racing', 'hks', 'ac', 'dingin', 'evaporator']"
"Keputusan Masa Penuh Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 MALAYSIA ?? 1-0 ?? THAILAND ⚽️ Faisal Halim 11' ▶️ Separuh Akhir 2 di Bangkok...",netral,"['keputusan', 'masa', 'penuh', 'separuh', 'akhir', '1', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'sabtu', '7', 'januari', '2023', 'malaysia', '10', 'thailand', 'faisal', 'halim', '11', 'separuh', 'akhir', '2', 'di', 'bangkok']","['penuh', 'mitsubishi', 'electric', 'malaysia', 'thailand', 'faisal', 'halim', 'bangkok']"
"Sempena kehangatan Piala AFF Mitsubishi Electric 2022, saya kongsikan bebenang sejarah nama #HarimauMalaya yang menjadi gelaran pasukan kebangsaan. Terdapat tiga cerita di sebalik nama asal...",netral,"['sempena', 'kehangatan', 'piala', 'aff', 'mitsubishi', 'electric', '2022', 'saya', 'kongsikan', 'bebenang', 'sejarah', 'nama', 'yang', 'menjadi', 'gelaran', 'pasukan', 'kebangsaan', 'terdapat', 'tiga', 'cerita', 'di', 'sebalik', 'nama', 'asal']","['kehangatan', 'mitsubishi', 'electric', 'kongsikan', 'bebenang', 'sejarah', 'pasukan', 'kebangsaan', 'cerita', 'sebalik']"
"Hari Perlawanan | Sabtu, 7 Januari 2023 Separuh Akhir 1 • Piala Mitsubishi Electric AFF 2022 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam ini ? Stadium Nasional,...",netral,"['hari', 'perlawanan', 'sabtu', '7', 'januari', '2023', 'separuh', 'akhir', '1', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'malaysia', 'thailand', '830', 'malam', 'ini', 'stadium', 'nasional']","['mitsubishi', 'electric', 'malaysia', 'thailand', 'nasional']"
"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam...",netral,"['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'akhir', '1', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'sabtu', '7', 'januari', '2023', 'malaysia', 'thailand', '830', 'malam']","['utama', 'simpanan', 'mitsubishi', 'electric', 'malaysia', 'thailand']"
"Operasi Stesen LRT Bukit Jalil akan dilanjutkan sehingga jam 12.30 tengah malam pada 7 Januari 2023 sempena Perlawanan Bola Sepak Piala Mitsubishi Electric AFF 2022, Malaysia menentang Thailand...",netral,"['operasi', 'stesen', 'lrt', 'bukit', 'jalil', 'akan', 'dilanjutkan', 'sehingga', 'jam', '1230', 'tengah', 'malam', 'pada', '7', 'januari', '2023', 'sempena', 'perlawanan', 'bola', 'sepak', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'malaysia', 'menentang', 'thailand']","['mitsubishi', 'electric', 'malaysia', 'menentang', 'thailand']"
"1-0 belum lagi bekal selesa untuk #HarimauMalaya ke Thailand. Bagi golongan suami yang bakal ke Bangkok untuk menyokong Harimau Malaya, pastikan restu isteri diperolehi terlebih dahulu. Jangan...",netral,"['10', 'belum', 'lagi', 'bekal', 'selesa', 'untuk', 'ke', 'thailand', 'bagi', 'golongan', 'suami', 'yang', 'bakal', 'ke', 'bangkok', 'untuk', 'menyokong', 'harimau', 'malaya', 'pastikan', 'restu', 'isteri', 'diperolehi', 'terlebih', 'dahulu', 'jangan']","['bekal', 'selesa', 'thailand', 'golongan', 'bangkok', 'menyokong', 'pastikan', 'restu']"
"Mobil Honda Jazz Kecelakaan di Depan Hotel Tiara Medan, Sopir Tewas Tertancap Besi PagarTranslate post",negatif,"['mobil', 'honda', 'jazz', 'kecelakaan', 'di', 'depan', 'hotel', 'tiara', 'medan', 'sopir', 'tewas', 'tertancap', 'besi', 'pagartranslate', 'post']","['honda', 'jazz', 'kecelakaan', 'medan', 'sopir', 'tewas', 'tertancap', 'besi']"
"Terima kasih kepada 62, 989 orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama Piala Mitsubishi Electric AFF 2022, Malaysia lwn Thailand di Stadium Nasional, Bukit...",positif,"['terima', 'kasih', 'kepada', '62', '989', 'orang', 'penyokong', 'yang', 'hadir', 'menyaksikan', 'aksi', 'perlawanan', 'separuh', 'akhir', 'pertama', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'malaysia', 'lwn', 'thailand', 'di', 'stadium', 'nasional', 'bukit']","['terima', 'penyokong', 'menyaksikan', 'aksi', 'mitsubishi', 'electric', 'malaysia', 'thailand', 'nasional']"
Wow Honda Amaze 2023 Kembaran Brio dengan Pilihan Mesin Berturbo Charger Namun dengan Harga 100 Jutaan Baca selanjutnya di https://strategi.id/diatasroda/pr-1046479136/wow-honda-amaze-2023-kembaran...,positif,"['wow', 'honda', 'amaze', '2023', 'kembaran', 'brio', 'dengan', 'pilihan', 'mesin', 'berturbo', 'charger', 'namun', 'dengan', 'harga', '100', 'jutaan', 'baca', 'selanjutnya', 'di']","['wow', 'honda', 'amaze', 'kembaran', 'brio', 'pilihan', 'mesin', 'berturbo', '100', 'jutaan']"
"Hari Perlawanan | Selasa, 10 Januari 2023 Separuh Akhir 2 • Piala Mitsubishi Electric AFF 2022 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ? 7:30pm (TH) ? 8:30pm (MY)...",netral,"['hari', 'perlawanan', 'selasa', '10', 'januari', '2023', 'separuh', 'akhir', '2', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'thailand', '0', '1', 'malaysia', '730pm', 'th', '830pm', 'my']","['mitsubishi', 'electric', 'thailand', 'malaysia', '730pm', '830pm']"
JUAL BMW E46 318I N42 TAUN 2002 SS LENGKAP OFF LAMA MESIN SEHAT HALUS MATIC SEHAT AC DINGIN POWER WINDOW DEPAN NORMAL BELAKANG OFF INTERIOR ORYGINAL RAPI HARGA 58 JUTA SAJA WA : 085692402419...,positif,"['jual', 'bmw', 'e46', '318i', 'n42', 'taun', '2002', 'ss', 'lengkap', 'off', 'lama', 'mesin', 'sehat', 'halus', 'matic', 'sehat', 'ac', 'dingin', 'power', 'window', 'depan', 'normal', 'belakang', 'off', 'interior', 'oryginal', 'rapi', 'harga', '58', 'juta', 'saja', 'wa', '085692402419']","['jual', 'bmw', 'e46', 'n42', 'taun', '2002', 'ss', 'lengkap', 'off', 'mesin', 'sehat', 'halus', 'matic', 'sehat', 'ac', 'dingin', 'power', 'window', 'normal', 'off', 'interior', 'oryginal', 'rapi', '58', 'juta']"
"Keputusan Masa Penuh Separuh Akhir 2 Piala Mitsubishi Electric AFF 2022 | Selasa, 10 Januari 2023 THAILAND ?? 3-0 ?? MALAYSIA ⚽️ Teerasil Dangda 19' Bordin Phala 55' Adisak...",netral,"['keputusan', 'masa', 'penuh', 'separuh', 'akhir', '2', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'selasa', '10', 'januari', '2023', 'thailand', '30', 'malaysia', 'teerasil', 'dangda', '19', 'bordin', 'phala', '55', 'adisak']","['penuh', 'mitsubishi', 'electric', 'thailand', '30', 'malaysia', 'teerasil', 'dangda', '19', 'bordin', 'phala', '55', 'adisak']"
"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 2 Piala Mitsubishi Electric AFF 2022 | Selasa, 10 Januari 2023 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ?...",netral,"['kesebelasan', 'utama', 'pemain', 'simpanan', 'harimau', 'malaya', 'separuh', 'akhir', '2', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'selasa', '10', 'januari', '2023', 'thailand', '0', '1', 'malaysia']","['utama', 'simpanan', 'mitsubishi', 'electric', 'thailand', 'malaysia']"
Perjuangan skuad Harimau Malaya pada Piala Mitsubishi Electric AFF 2022 berakhir di peringkat separuh akhir. Terima kasih kepada wira-wira Harimau Malaya yang telah berjuang untuk membawa nama...,positif,"['perjuangan', 'skuad', 'harimau', 'malaya', 'pada', 'piala', 'mitsubishi', 'electric', 'aff', '2022', 'berakhir', 'di', 'peringkat', 'separuh', 'akhir', 'terima', 'kasih', 'kepada', 'wirawira', 'harimau', 'malaya', 'yang', 'telah', 'berjuang', 'untuk', 'membawa', 'nama']","['perjuangan', 'mitsubishi', 'electric', 'peringkat', 'terima', 'berjuang']"
"Perbedaan Toyota Hilux Tipe E dan G, Kamu Harus Tahu! https://idntimes.com/automotive/car/seo-intern/perbedaan-toyota-hilux-tipe-e-dan-g-kamu-harus-tahu?utm_source=twitter&utm_medium=twitter&utm_ca...",netral,"['perbedaan', 'toyota', 'hilux', 'tipe', 'e', 'dan', 'g', 'kamu', 'harus', 'tahu']","['perbedaan', 'toyota', 'hilux', 'tipe', 'e']"
"Kecemasan itu kini tak perlu dihiraukan. Nikmati beragam layanan inovatif dari “Hyundai Hadir Untukmu” yang memberikan kenyamanan, ketenangan, dan kepuasan untuk seluruh pelanggan! #Hyundai...",positif,"['kecemasan', 'itu', 'kini', 'tak', 'perlu', 'dihiraukan', 'nikmati', 'beragam', 'layanan', 'inovatif', 'dari', 'hyundai', 'hadir', 'untukmu', 'yang', 'memberikan', 'kenyamanan', 'ketenangan', 'dan', 'kepuasan', 'untuk', 'seluruh', 'pelanggan']","['kecemasan', 'dihiraukan', 'beragam', 'layanan', 'inovatif', 'hyundai', 'kenyamanan', 'ketenangan', 'kepuasan', 'pelanggan']"
"Promo yang paling ditunggu hadir untukmu! Untuk semua pemilik STNK Mitsubishi selain FUSO, nikmati diskon terbaik, sebesar 25% lhoo ? Promo bersama IP (Industry Partner) kami hanya berlaku...",positif,"['promo', 'yang', 'paling', 'ditunggu', 'hadir', 'untukmu', 'untuk', 'semua', 'pemilik', 'stnk', 'mitsubishi', 'selain', 'fuso', 'nikmati', 'diskon', 'terbaik', 'sebesar', '25', 'lhoo', 'promo', 'bersama', 'ip', 'industry', 'partner', 'kami', 'hanya', 'berlaku']","['promo', 'ditunggu', 'pemilik', 'stnk', 'mitsubishi', 'fuso', 'diskon', 'terbaik', '25', 'promo', 'ip', 'partner']"
"Sudah Murah Bahkan Seharga LCGC, Mobil Bekas Toyota Fortuner Cuma 135 Jutaan, Cek Daftarnya DisiniTranslate post",positif,"['sudah', 'murah', 'bahkan', 'seharga', 'lcgc', 'mobil', 'bekas', 'toyota', 'fortuner', 'cuma', '135', 'jutaan', 'cek', 'daftarnya', 'disinitranslate', 'post']","['murah', 'lcgc', 'bekas', 'toyota', 'fortuner', '135', 'jutaan', 'daftarnya']"
"Dijual bmw e30 th 1990 m40, warna merah, ac dingin, kaki2 nyaman, mesin normal, temperatur aman,.. Minus : - pajak off 2021 - reks steering ( sudah ada rekssteering yg baru, tinggal pasang.)...",netral,"['dijual', 'bmw', 'e30', 'th', '1990', 'm40', 'warna', 'merah', 'ac', 'dingin', 'kaki2', 'nyaman', 'mesin', 'normal', 'temperatur', 'aman', 'minus', 'pajak', 'off', '2021', 'reks', 'steering', 'sudah', 'ada', 'rekssteering', 'yg', 'baru', 'tinggal', 'pasang']","['dijual', 'bmw', '1990', 'm40', 'merah', 'ac', 'dingin', 'kaki2', 'nyaman', 'mesin', 'normal', 'temperatur', 'aman', 'minus', 'pajak', 'off', '2021', 'reks', 'steering', 'rekssteering', 'tinggal']"
"Apa pistol (carry) favorit kalian? Mimin pun sebenarnya lebih suka SIG-series seperti P320 atau P229, namun sangat sulit untuk melepas Glock yang satu ini, Glock 19 gen 5 MOS yang optic-ready...",netral,"['apa', 'pistol', 'carry', 'favorit', 'kalian', 'mimin', 'pun', 'sebenarnya', 'lebih', 'suka', 'sigseries', 'seperti', 'p320', 'atau', 'p229', 'namun', 'sangat', 'sulit', 'untuk', 'melepas', 'glock', 'yang', 'satu', 'ini', 'glock', '19', 'gen', '5', 'mos', 'yang', 'opticready']","['pistol', 'carry', 'favorit', 'suka', 'sigseries', 'p320', 'p229', 'sulit', 'melepas', 'glock', 'glock', '19', 'gen', 'mos', 'opticready']"
"Min, kapan yah Isuzu sama Mitsubishi bikin minibus sendiri kayak Hiace. Kan skrg udah pada punya mesin 2500cc Euro 4 semua. Skrg udah gak ada larangan pabrikan bikin body sendiri, gak usah...",netral,"['min', 'kapan', 'yah', 'isuzu', 'sama', 'mitsubishi', 'bikin', 'minibus', 'sendiri', 'kayak', 'hiace', 'kan', 'skrg', 'udah', 'pada', 'punya', 'mesin', '2500cc', 'euro', '4', 'semua', 'skrg', 'udah', 'gak', 'ada', 'larangan', 'pabrikan', 'bikin', 'body', 'sendiri', 'gak', 'usah']","['isuzu', 'mitsubishi', 'minibus', 'hiace', 'skrg', 'mesin', '2500cc', 'euro', 'skrg', 'larangan', 'pabrikan', 'body']"
Abadikanlah sebelum spesies MITSUBISHI BM meghilang WARGA BARU PT. Warga Baru Express EKONOMI (Non AC) Pagaden - Kampung Rambutan via. Pamanukan(pp) 145 (T 7574 DC) Body : (UNKNOW) by. Karoseri...,netral,"['abadikanlah', 'sebelum', 'spesies', 'mitsubishi', 'bm', 'meghilang', 'warga', 'baru', 'pt', 'warga', 'baru', 'express', 'ekonomi', 'non', 'ac', 'pagaden', 'kampung', 'rambutan', 'via', 'pamanukanpp', '145', 't', '7574', 'dc', 'body', 'unknow', 'by', 'karoseri']","['abadikanlah', 'spesies', 'mitsubishi', 'bm', 'meghilang', 'ekonomi', 'non', 'ac', 'pagaden', 'kampung', 'rambutan', 'pamanukanpp', '145', 't', '7574', 'dc', 'body', 'unknow', 'by', 'karoseri']"
Baru saja mengirim foto @ Daihatsu Rangkasbitung Lebak Banten - Yan wijaya 087772111782 https://instagram.com/p/CngAYqbyJIR/?igshid=YTgzYjQ4ZTY=…Translate post,netral,"['baru', 'saja', 'mengirim', 'foto', 'daihatsu', 'rangkasbitung', 'lebak', 'banten', 'yan', 'wijaya', '087772111782', 'post']",['daihatsu']
"""Battleship Island” yang juga dikenali sebagai Gunkanjima atau ""Pulau Kapal Perang"" yang terletak di Pulau Hashima dibeli oleh Kumpulan Mitsubishi pada tahun 1890 semasa revolusi perindustrian...",netral,"['battleship', 'island', 'yang', 'juga', 'dikenali', 'sebagai', 'gunkanjima', 'atau', 'pulau', 'kapal', 'perang', 'yang', 'terletak', 'di', 'pulau', 'hashima', 'dibeli', 'oleh', 'kumpulan', 'mitsubishi', 'pada', 'tahun', '1890', 'semasa', 'revolusi', 'perindustrian']","['battleship', 'island', 'dikenali', 'gunkanjima', 'pulau', 'perang', 'terletak', 'pulau', 'hashima', 'dibeli', 'kumpulan', 'mitsubishi', '1890', 'revolusi', 'perindustrian']"
"Hadir Honda Amaze 2023 100 Jutaan si Brio Versi Sedan, Canggih Super Irit Baca selanjutnya di https://strategi.id/diatasroda/pr-1046968067/hadir-honda-amaze-2023-100-jutaan-si-brio-versi-sedan-cang...",netral,"['hadir', 'honda', 'amaze', '2023', '100', 'jutaan', 'si', 'brio', 'versi', 'sedan', 'canggih', 'super', 'irit', 'baca', 'selanjutnya', 'di']","['honda', 'amaze', '100', 'jutaan', 'brio', 'sedan', 'canggih', 'super', 'irit']"
Inilah dia skuad Indonesia di Daihatsu Indonesia Masters 2023. Ayo dukung perjuangan mereka! ???? #DIM2023Translate post,positif,"['inilah', 'dia', 'skuad', 'indonesia', 'di', 'daihatsu', 'indonesia', 'masters', '2023', 'ayo', 'dukung', 'perjuangan', 'mereka', 'post']","['indonesia', 'daihatsu', 'indonesia', 'dukung', 'perjuangan']"
nonton bulutangkis indonesia daihatsu indonesia master 2023 (bwf super 500) selasa minggu 24/29 januari 2023 di istora gelora bung karno tanah abang jakarta pusat live hanya di tv gratis mnc...,netral,"['nonton', 'bulutangkis', 'indonesia', 'daihatsu', 'indonesia', 'master', '2023', 'bwf', 'super', '500', 'selasa', 'minggu', '2429', 'januari', '2023', 'di', 'istora', 'gelora', 'bung', 'karno', 'tanah', 'abang', 'jakarta', 'pusat', 'live', 'hanya', 'di', 'tv', 'gratis', 'mnc']","['bulutangkis', 'indonesia', 'daihatsu', 'indonesia', 'bwf', 'super', '500', '2429', 'istora', 'gelora', 'karno', 'tanah', 'abang', 'jakarta', 'pusat', 'gratis', 'mnc']"
WTS Tiket Daihatsu Indonesia Master 2023 DAY 3 Bantu temen yg gajadi nonton karena suaminya gabisa cuti.. 2 tiket DAY 3 (regular) Harga beli 350k (2 tiket) NEGO ALUS yg minat & serius dm yaaaaa...,netral,"['wts', 'tiket', 'daihatsu', 'indonesia', 'master', '2023', 'day', '3', 'bantu', 'temen', 'yg', 'gajadi', 'nonton', 'karena', 'suaminya', 'gabisa', 'cuti', '2', 'tiket', 'day', '3', 'regular', 'harga', 'beli', '350k', '2', 'tiket', 'nego', 'alus', 'yg', 'minat', 'serius', 'dm', 'yaaaaa']","['wts', 'daihatsu', 'indonesia', 'day', '3', 'bantu', 'gajadi', 'suaminya', 'gabisa', 'cuti', 'day', '3', 'regular', '350k', 'nego', 'alus', 'minat', 'serius', 'dm', 'yaaaaa']"
Mau lebih nyaman? Bisa Add-On Xtra Carry On mulai Rp80ribu!? Kami tunggu kamu di penerbangan selanjutnya ya! ? #airasiaindonesia #promoairasiaTranslate post,positif,"['mau', 'lebih', 'nyaman', 'bisa', 'addon', 'xtra', 'carry', 'on', 'mulai', 'rp80ribu', 'kami', 'tunggu', 'kamu', 'di', 'penerbangan', 'selanjutnya', 'ya', 'post']","['nyaman', 'addon', 'xtra', 'carry', 'rp80ribu', 'penerbangan']"
Toyota Corolla Veteran (Corvet) Th 77 . Yg serius silahkan di cek unitnya. Warna Hijau plat B Mobil siap nongkrong Transmisi Manual Pajak Panjang On 07-2023 - 07-2027 AN Pribadi Mobilnya BPKB...,netral,"['toyota', 'corolla', 'veteran', 'corvet', 'th', '77', 'yg', 'serius', 'silahkan', 'di', 'cek', 'unitnya', 'warna', 'hijau', 'plat', 'b', 'mobil', 'siap', 'nongkrong', 'transmisi', 'manual', 'pajak', 'panjang', 'on', '072023', '072027', 'an', 'pribadi', 'mobilnya', 'bpkb']","['toyota', 'corolla', 'veteran', 'corvet', '77', 'serius', 'silahkan', 'unitnya', 'hijau', 'plat', 'nongkrong', 'transmisi', 'manual', 'pajak', '072023', '072027', 'an', 'pribadi', 'mobilnya', 'bpkb']"
Babak 32 besar Daihatsu Indonesia Masters 2023 berlanjut besok mulai pukul 08.00 WIB. Ini jadwal wakil-wakil Indonesia! Ayo semangat lagi! ???? #DIM2023Translate post,positif,"['babak', '32', 'besar', 'daihatsu', 'indonesia', 'masters', '2023', 'berlanjut', 'besok', 'mulai', 'pukul', '0800', 'wib', 'ini', 'jadwal', 'wakilwakil', 'indonesia', 'ayo', 'semangat', 'lagi', 'post']","['babak', '32', 'daihatsu', 'indonesia', 'indonesia', 'semangat']"
Toyota Way dan Tesla Way adalah dua cara berbeda dalam mengelola perusahaan yang digunakan oleh Toyota dan Tesla. Kedua cara ini memiliki beberapa kemiripan dan perbedaan yang signifikanTranslate post,netral,"['toyota', 'way', 'dan', 'tesla', 'way', 'adalah', 'dua', 'cara', 'berbeda', 'dalam', 'mengelola', 'perusahaan', 'yang', 'digunakan', 'oleh', 'toyota', 'dan', 'tesla', 'kedua', 'cara', 'ini', 'memiliki', 'beberapa', 'kemiripan', 'dan', 'perbedaan', 'yang', 'signifikantranslate', 'post']","['toyota', 'tesla', 'berbeda', 'mengelola', 'toyota', 'tesla', 'kemiripan', 'perbedaan']"
